SH,11,2011013000,BEST,0,-13.3,170.1,40,993,45
SH,11,2011013006,BEST,0,-13.2,168.8,45,989,15
SH,11,2011013012,BEST,0,-13.4,167.5,50,985,15
SH,11,2011013018,BEST,0,-13.5,166.1,60,978,20
SH,11,2011013100,BEST,0,-13.6,164.5,65,974,20
SH,11,2011013106,BEST,0,-13.5,162.5,75,967,20
SH,11,2011013112,BEST,0,-13.5,160.5,90,956,20
SH,11,2011013118,BEST,0,-13.7,158.5,90,956,15
SH,11,2011020100,BEST,0,-14.1,156.6,95,952,15
SH,11,2011020106,BEST,0,-14.4,154.9,100,948,15
SH,11,2011020112,BEST,0,-15,153.3,120,933,15
SH,11,2011020118,BEST,0,-15.8,151.6,125,929,10
SH,11,2011020200,BEST,0,-16.4,149.8,130,926,10
SH,11,2011020206,BEST,0,-17,148.1,135,922,10
SH,11,2011020212,BEST,0,-17.5,146.9,135,922,10
SH,11,2011020218,BEST,0,-18.2,145.2,110,941,25
SH,11,2011020300,BEST,0,-19.4,143.2,80,963,25
SH,11,2011020306,BEST,0,-19.9,141.6,50,985,25
SH,11,2011020312,BEST,0,-20.4,140.4,40,993,25